Lot Area,Neighborhood,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Bsmt Qual,Total Bsmt SF,1st Flr SF,2nd Flr SF,Gr Liv Area,Full Bath,Bedroom AbvGr,TotRms AbvGrd,Garage Cars,Garage Area,SalePrice
31770,NAmes,6,5,1960,1960,TA,1080,1656,0,1656,1,3,7,2,528,215000
11622,NAmes,5,6,1961,1961,TA,882,896,0,896,1,2,5,1,730,105000
14267,NAmes,6,6,1958,1958,TA,1329,1329,0,1329,1,3,6,1,312,172000
11160,NAmes,7,5,1968,1968,TA,2110,2110,0,2110,2,3,8,2,522,244000
13830,Gilbert,5,5,1997,1998,Gd,928,928,701,1629,2,3,6,2,482,189900
9978,Gilbert,6,6,1998,1998,TA,926,926,678,1604,2,3,7,2,470,195500
4920,StoneBr,8,5,2001,2001,Gd,1338,1338,0,1338,2,2,6,2,582,213500
5005,StoneBr,8,5,1992,1992,Gd,1280,1280,0,1280,2,2,5,2,506,191500
5389,StoneBr,8,5,1995,1996,Gd,1595,1616,0,1616,2,2,5,2,608,236500
7500,Gilbert,7,5,1999,1999,TA,994,1028,776,1804,2,3,7,2,442,189000
10000,Gilbert,6,5,1993,1994,Gd,763,763,892,1655,2,3,7,2,440,175900
7980,Gilbert,6,7,1992,2007,Gd,1168,1187,0,1187,2,3,6,2,420,185000
8402,Gilbert,6,5,1998,1998,Gd,789,789,676,1465,2,3,7,2,393,180400
10176,Gilbert,7,5,1990,1990,Gd,1300,1341,0,1341,1,2,5,2,506,171500
6820,StoneBr,8,5,1985,1985,Gd,1488,1502,0,1502,1,1,4,2,528,212000
53504,StoneBr,8,5,2003,2003,Gd,1650,1690,1589,3279,3,4,12,3,841,538000
12134,Gilbert,8,7,1988,2005,Gd,559,1080,672,1752,2,4,8,2,492,164000
11394,StoneBr,9,2,2010,2010,Ex,1856,1856,0,1856,1,1,8,3,834,394432
19138,Gilbert,4,5,1951,1951,TA,864,864,0,864,1,2,4,2,400,141000
13175,NWAmes,6,6,1978,1988,Gd,1542,2073,0,2073,2,3,7,2,500,210000
11751,NWAmes,6,6,1977,1977,Gd,1844,1844,0,1844,2,3,7,2,546,190000
10625,NWAmes,7,6,1974,1974,Gd,1053,1173,0,1173,2,3,6,2,528,170000
7500,Somerst,7,5,2000,2000,Gd,814,814,860,1674,2,3,7,2,663,216000
11241,NAmes,6,7,1970,1970,TA,1004,1004,0,1004,1,2,5,2,480,149000
12537,NAmes,5,6,1971,2008,TA,1078,1078,0,1078,1,3,6,2,500,149900
8450,NAmes,5,6,1968,1968,TA,1056,1056,0,1056,1,3,6,1,304,142000
8400,NAmes,4,5,1970,1970,TA,882,882,0,882,1,2,4,2,525,126000
10500,NAmes,4,5,1971,1971,TA,864,864,0,864,1,3,5,0,0,115000
5858,NAmes,7,5,1999,1999,Gd,1405,1337,0,1337,2,2,5,2,511,184000
1680,BrDale,6,5,1971,1971,TA,483,483,504,987,1,2,5,1,264,96000
1680,BrDale,5,5,1971,1971,TA,525,525,567,1092,1,3,6,1,320,105500
1680,BrDale,6,5,1971,1971,TA,525,525,567,1092,1,3,6,1,264,88000
4043,NPkVill,6,5,1977,1977,Gd,1069,1069,0,1069,2,2,4,2,440,127500
2280,NPkVill,6,6,1975,1975,TA,855,855,601,1456,2,3,6,2,440,149900
2280,NPkVill,7,6,1975,1975,Gd,836,836,0,836,1,2,4,1,308,120000
2280,NPkVill,6,5,1978,1978,Gd,855,855,601,1456,2,3,7,2,440,146000
12858,NridgHt,9,5,2009,2010,Ex,1590,1627,707,2334,2,3,10,3,751,376162
11478,NridgHt,8,5,2007,2008,Ex,1704,1704,0,1704,2,3,7,3,772,306000
